w201912161530:1815.8365478515625, 201912161535:1819.7308959960938, 201912161540:1823.625244140625, 201912161545:1827.5195617675781, 201912161550:1831.4139099121094, 201912161555:1835.3082580566406, 201912161600:1865.1818542480469, 201912161605:1869.076171875, 201912161610:1872.9705200195312, 201912161615:1876.8648681640625, 201912161620:1880.7592163085938, 201912161625:1884.653564453125,
201912201850:2023.5368957519531, 201912201855:2027.1231079101562, 201912201900:2064.6245727539062, 201912201905:2068.2107849121094, 201912201910:2071.7969970703125, 201912201915:2075.3832092285156, 201912201920:2078.9694213867188, 201912201925:2082.555633544922, 201912201930:2086.141845703125, 201912201935:2089.72802734375, 201912201940:2093.314239501953, 201912201945:2096.9004516601562, 
201912201855:2032.1312866210938, 201912201900:2047.40283203125, 201912201905:2053.041778564453, 201912201910:2058.680694580078, 201912201915:2064.3196411132812, 201912201920:2069.9585571289062, 201912201925:2075.5975036621094, 201912201930:2081.2364196777344, 201912201935:2086.8753662109375, 201912201940:2092.5142822265625, 201912201945:2098.1532287597656, 201912201950:2103.7921447753906, 
201912201900:2062.9768676757812, 201912201905:2066.6722717285156, 201912201910:2070.36767578125, 201912201915:2074.0630798339844, 201912201920:2077.7584838867188, 201912201925:2081.453887939453, 201912201930:2085.1492919921875, 201912201935:2088.844696044922, 201912201940:2092.5401000976562, 201912201945:2096.2355041503906, 201912201950:2099.930877685547, 201912201955:2103.6262817382812, 
201912201905:2061.861328125, 201912201910:2066.578369140625, 201912201915:2071.295379638672, 201912201920:2076.012420654297, 201912201925:2080.7294311523438, 201912201930:2085.4464721679688, 201912201935:2090.1634826660156, 201912201940:2094.8805236816406, 201912201945:2099.5975341796875, 201912201950:2104.3145751953125, 201912201955:2109.0315856933594, 201912202000:2134.5601806640625, 
201912201910:2076.842071533203, 201912201915:2080.8863525390625, 201912201920:2084.930633544922, 201912201925:2088.9749145507812, 201912201930:2093.0191955566406, 201912201935:2097.0634765625, 201912201940:2101.1077575683594, 201912201945:2105.1520385742188, 201912201950:2109.196319580078, 201912201955:2113.2406005859375, 201912202000:2145.5030517578125, 201912202005:2149.547332763672, 
201912201915:2083.6318969726562, 201912201920:2088.5811157226562, 201912201925:2093.5303649902344, 201912201930:2098.4796142578125, 201912201935:2103.4288330078125, 201912201940:2108.3780822753906, 201912201945:2113.3273315429688, 201912201950:2118.2765502929688, 201912201955:2123.225799560547, 201912202000:2146.5105895996094, 201912202005:2151.4598388671875, 201912202010:2156.4090576171875, 
201912201920:2073.4302673339844, 201912201925:2077.1663818359375, 201912201930:2080.9025268554688, 201912201935:2084.638671875, 201912201940:2088.374786376953, 201912201945:2092.1109313964844, 201912201950:2095.8470764160156, 201912201955:2099.583221435547, 201912202000:2134.5081481933594, 201912202005:2138.2442932128906, 201912202010:2141.980438232422, 201912202015:2145.716552734375, 
201912201925:2086.14794921875, 201912201930:2090.798126220703, 201912201935:2095.4483032226562, 201912201940:2100.0984802246094, 201912201945:2104.7486572265625, 201912201950:2109.3988342285156, 201912201955:2114.0490112304688, 201912202000:2140.017578125, 201912202005:2144.667755126953, 201912202010:2149.3179321289062, 201912202015:2153.9680786132812, 201912202020:2158.6182556152344, 
201912201930:2086.091033935547, 201912201935:2091.5293579101562, 201912201940:2096.9677124023438, 201912201945:2102.406036376953, 201912201950:2107.8443908691406, 201912201955:2113.28271484375, 201912202000:2130.2432556152344, 201912202005:2135.6815795898438, 201912202010:2141.1199340820312, 201912202015:2146.5582580566406, 201912202020:2151.996612548828, 201912202025:2157.4349365234375, 
201912201935:2087.207275390625, 201912201940:2090.8883361816406, 201912201945:2094.5694274902344, 201912201950:2098.25048828125, 201912201955:2101.9315490722656, 201912202000:2137.8592834472656, 201912202005:2141.5403442382812, 201912202010:2145.221435546875, 201912202015:2148.9024963378906, 201912202020:2152.5835571289062, 201912202025:2156.2646484375, 201912202030:2159.9457092285156, 
201912201940:2096.6275024414062, 201912201945:2101.0977478027344, 201912201950:2105.5680236816406, 201912201955:2110.0382690429688, 201912202000:2138.7106018066406, 201912202005:2143.1808471679688, 201912202010:2147.651092529297, 201912202015:2152.121337890625, 201912202020:2156.591583251953, 201912202025:2161.0618286132812, 201912202030:2165.5320739746094, 201912202035:2170.0023498535156, 
201912201945:2095.266143798828, 201912201950:2099.508087158203, 201912201955:2103.75, 201912202000:2133.7945251464844, 201912202005:2138.0364685058594, 201912202010:2142.2783813476562, 201912202015:2146.5203247070312, 201912202020:2150.7622680664062, 201912202025:2155.004180908203, 201912202030:2159.246124267578, 201912202035:2163.488067626953, 201912202040:2167.72998046875, 
201912201950:2114.4036865234375, 201912201955:2118.671112060547, 201912202000:2148.3716430664062, 201912202005:2152.6390686035156, 201912202010:2156.906494140625, 201912202015:2161.1739501953125, 201912202020:2165.441375732422, 201912202025:2169.7088012695312, 201912202030:2173.9762573242188, 201912202035:2178.243682861328, 201912202040:2182.5111389160156, 201912202045:2186.778564453125, 
201912201955:2116.641326904297, 201912202000:2145.657470703125, 201912202005:2150.1013793945312, 201912202010:2154.5452880859375, 201912202015:2158.9891967773438, 201912202020:2163.43310546875, 201912202025:2167.8770141601562, 201912202030:2172.3209228515625, 201912202035:2176.7648315429688, 201912202040:2181.208740234375, 201912202045:2185.652618408203, 201912202050:2190.0965270996094, 
201912202000:2139.7625427246094, 201912202005:2144.008758544922, 201912202010:2148.2549438476562, 201912202015:2152.5011291503906, 201912202020:2156.747344970703, 201912202025:2160.9935302734375, 201912202030:2165.239715576172, 201912202035:2169.4859313964844, 201912202040:2173.7321166992188, 201912202045:2177.978302001953, 201912202050:2182.2245178222656, 201912202055:2186.470703125, 
201912202005:2142.9794921875, 201912202010:2147.93359375, 201912202015:2152.8876953125, 201912202020:2157.841796875, 201912202025:2162.795867919922, 201912202030:2167.749969482422, 201912202035:2172.704071044922, 201912202040:2177.6581420898438, 201912202045:2182.6122436523438, 201912202050:2187.5663452148438, 201912202055:2192.5204467773438, 201912202100:2215.0374450683594, 
201912202010:2149.804962158203, 201912202015:2154.2054748535156, 201912202020:2158.605987548828, 201912202025:2163.0065002441406, 201912202030:2167.407012939453, 201912202035:2171.8075256347656, 201912202040:2176.208038330078, 201912202045:2180.6085510253906, 201912202050:2185.009033203125, 201912202055:2189.4095458984375, 201912202100:2218.510467529297, 201912202105:2222.9109802246094, 
201912202015:2148.834228515625, 201912202020:2154.9617614746094, 201912202025:2161.0892639160156, 201912202030:2167.216796875, 201912202035:2173.3443298339844, 201912202040:2179.4718322753906, 201912202045:2185.599365234375, 201912202050:2191.7268981933594, 201912202055:2197.8544006347656, 201912202100:2207.5156860351562, 201912202105:2213.6432189941406, 201912202110:2219.770751953125, 
201912202020:2167.859100341797, 201912202025:2172.0455017089844, 201912202030:2176.2318725585938, 201912202035:2180.4182739257812, 201912202040:2184.6046447753906, 201912202045:2188.791046142578, 201912202050:2192.9774169921875, 201912202055:2197.163818359375, 201912202100:2228.503692626953, 201912202105:2232.6900634765625, 201912202110:2236.87646484375, 201912202115:2241.0628356933594, 
201912202025:2167.8723754882812, 201912202030:2172.38232421875, 201912202035:2176.8922424316406, 201912202040:2181.4021911621094, 201912202045:2185.912109375, 201912202050:2190.4220581054688, 201912202055:2194.9319763183594, 201912202100:2222.429229736328, 201912202105:2226.939178466797, 201912202110:2231.4490966796875, 201912202115:2235.9590454101562, 201912202120:2240.468963623047, 
201912202030:2162.5720825195312, 201912202035:2165.120635986328, 201912202040:2167.669204711914, 201912202045:2170.217758178711, 201912202050:2172.766311645508, 201912202055:2175.3148651123047, 201912202100:2223.670944213867, 201912202105:2226.219512939453, 201912202110:2228.76806640625, 201912202115:2231.316619873047, 201912202120:2233.8651733398438, 201912202125:2236.4137420654297, 
201912202035:2170.795684814453, 201912202040:2174.9961547851562, 201912202045:2179.1965942382812, 201912202050:2183.3970642089844, 201912202055:2187.5975341796875, 201912202100:2218.1134033203125, 201912202105:2222.3138732910156, 201912202110:2226.5143432617188, 201912202115:2230.714813232422, 201912202120:2234.915252685547, 201912202125:2239.11572265625, 201912202130:2243.316192626953, 
201912202040:2182.5824279785156, 201912202045:2186.649688720703, 201912202050:2190.7169799804688, 201912202055:2194.7842407226562, 201912202100:2227.661163330078, 201912202105:2231.7284545898438, 201912202110:2235.7957153320312, 201912202115:2239.863006591797, 201912202120:2243.9302673339844, 201912202125:2247.99755859375, 201912202130:2252.0648193359375, 201912202135:2256.132110595703, 
201912202045:2180.616455078125, 201912202050:2184.7662048339844, 201912202055:2188.9159545898438, 201912202100:2219.975341796875, 201912202105:2224.1250915527344, 201912202110:2228.2748413085938, 201912202115:2232.424560546875, 201912202120:2236.5743103027344, 201912202125:2240.7240600585938, 201912202130:2244.873809814453, 201912202135:2249.0235595703125, 201912202140:2253.173309326172, 
201912202050:2189.83203125, 201912202055:2194.2260131835938, 201912202100:2222.729217529297, 201912202105:2227.1231689453125, 201912202110:2231.5171508789062, 201912202115:2235.911102294922, 201912202120:2240.3050842285156, 201912202125:2244.6990356445312, 201912202130:2249.093017578125, 201912202135:2253.4869689941406, 201912202140:2257.8809509277344, 201912202145:2262.27490234375, 
201912202055:2192.622833251953, 201912202100:2225.740264892578, 201912202105:2229.7568359375, 201912202110:2233.7734375, 201912202115:2237.790008544922, 201912202120:2241.806610107422, 201912202125:2245.8231811523438, 201912202130:2249.8397521972656, 201912202135:2253.8563537597656, 201912202140:2257.8729248046875, 201912202145:2261.8895263671875, 201912202150:2265.9060974121094, 
201912202100:2236.7153930664062, 201912202105:2240.481231689453, 201912202110:2244.247039794922, 201912202115:2248.0128784179688, 201912202120:2251.7787170410156, 201912202125:2255.5445251464844, 201912202130:2259.3103637695312, 201912202135:2263.076171875, 201912202140:2266.842010498047, 201912202145:2270.6078186035156, 201912202150:2274.3736572265625, 201912202155:2278.1394958496094, 
201912202105:2231.1080627441406, 201912202110:2236.1731567382812, 201912202115:2241.238250732422, 201912202120:2246.3033447265625, 201912202125:2251.368438720703, 201912202130:2256.4335327148438, 201912202135:2261.4986267089844, 201912202140:2266.563720703125, 201912202145:2271.6288146972656, 201912202150:2276.6939086914062, 201912202155:2281.759002685547, 201912202200:2303.9556884765625, 
201912202110:2236.554412841797, 201912202115:2241.2691040039062, 201912202120:2245.9837646484375, 201912202125:2250.6984252929688, 201912202130:2255.413116455078, 201912202135:2260.1277770996094, 201912202140:2264.8424682617188, 201912202145:2269.55712890625, 201912202150:2274.2718200683594, 201912202155:2278.9864807128906, 201912202200:2305.4270629882812, 201912202205:2310.1417236328125, 
201912202115:2247.7684631347656, 201912202120:2251.401123046875, 201912202125:2255.0337524414062, 201912202130:2258.6664123535156, 201912202135:2262.299072265625, 201912202140:2265.9317321777344, 201912202145:2269.5643615722656, 201912202150:2273.197021484375, 201912202155:2276.8296813964844, 201912202200:2314.5674743652344, 201912202205:2318.2001342773438, 201912202210:2321.832763671875, 
201912202120:2241.7754821777344, 201912202125:2246.701904296875, 201912202130:2251.6282958984375, 201912202135:2256.5546875, 201912202140:2261.4810791015625, 201912202145:2266.407470703125, 201912202150:2271.3338623046875, 201912202155:2276.26025390625, 201912202200:2299.068634033203, 201912202205:2303.9950256347656, 201912202210:2308.921417236328, 201912202215:2313.8478088378906, 
201912202125:2250.176788330078, 201912202130:2254.7630310058594, 201912202135:2259.3492431640625, 201912202140:2263.9354858398438, 201912202145:2268.521728515625, 201912202150:2273.1079711914062, 201912202155:2277.6942138671875, 201912202200:2304.7041625976562, 201912202205:2309.2903747558594, 201912202210:2313.8766174316406, 201912202215:2318.462860107422, 201912202220:2323.049102783203, 
201912202130:2260.6121520996094, 201912202135:2265.107391357422, 201912202140:2269.6026000976562, 201912202145:2274.0978393554688, 201912202150:2278.5930786132812, 201912202155:2283.0883178710938, 201912202200:2311.0596313476562, 201912202205:2315.5548706054688, 201912202210:2320.050079345703, 201912202215:2324.5453186035156, 201912202220:2329.040557861328, 201912202225:2333.5357666015625, 
201912202135:2255.0867309570312, 201912202140:2259.404052734375, 201912202145:2263.7213745117188, 201912202150:2268.0386962890625, 201912202155:2272.3560485839844, 201912202200:2301.649871826172, 201912202205:2305.9671936035156, 201912202210:2310.2845153808594, 201912202215:2314.601837158203, 201912202220:2318.919158935547, 201912202225:2323.2365112304688, 201912202230:2327.5538330078125, 
201912202140:2257.7792358398438, 201912202145:2261.6992797851562, 201912202150:2265.6193237304688, 201912202155:2269.5393676757812, 201912202200:2304.056427001953, 201912202205:2307.9764709472656, 201912202210:2311.8965454101562, 201912202215:2315.8165893554688, 201912202220:2319.7366333007812, 201912202225:2323.6566772460938, 201912202230:2327.5767211914062, 201912202235:2331.4967651367188, 
201912202145:2273.32177734375, 201912202150:2278.483642578125, 201912202155:2283.6455078125, 201912202200:2305.1652221679688, 201912202205:2310.3270874023438, 201912202210:2315.4889526367188, 201912202215:2320.6508178710938, 201912202220:2325.8126831054688, 201912202225:2330.9745483398438, 201912202230:2336.1363830566406, 201912202235:2341.2982482910156, 201912202240:2346.4601135253906, 
201912202150:2281.7484436035156, 201912202155:2285.7868041992188, 201912202200:2319.4701538085938, 201912202205:2323.508514404297, 201912202210:2327.546875, 201912202215:2331.5852661132812, 201912202220:2335.6236267089844, 201912202225:2339.6619873046875, 201912202230:2343.7003479003906, 201912202235:2347.7387084960938, 201912202240:2351.777069091797, 201912202245:2355.8154296875, 
201912202155:2275.301513671875, 201912202200:2300.764862060547, 201912202205:2305.37939453125, 201912202210:2309.9939575195312, 201912202215:2314.6085205078125, 201912202220:2319.2230834960938, 201912202225:2323.837646484375, 201912202230:2328.452178955078, 201912202235:2333.0667419433594, 201912202240:2337.6813049316406, 201912202245:2342.295867919922, 201912202250:2346.910430908203, 
